Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Turkiye,TUR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,13449.2756277799,14205.066788744,15036.1769896386,15158.999506441,14445.3857396939,15223.3516934721,14136.6705970308,14839.1305823145,15488.1102122939,16775.0791956695,18038.8129252324,19043.6222765122,19757.8203114617,19680.940012927,18497.0090594997,19790.0685961517,21716.2651537909,22422.5364498002,23912.732066547,24600.5182148512,25594.6596877067,25996.966256167,27582.8323486902,28157.9779161848,28150.0589486703,28473.2058583828,31466.5599244857
Turkmenistan,TKM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3969.82603350925,4162.46449243382,3635.05508773468,3833.5413166171,4397.05457498491,4568.46055021197,4699.06959178469,4647.11499982279,4738.496326135,4912.67286863053,5477.9985097697,5995.36131829254,6564.50420823896,7418.48135939572,7748.14340690454,8321.21959991104,9379.14387596202,10233.4001874194,11071.5171149944,11989.653763765,12540.2838757783,13086.0134078181,13703.5127239741,14321.1395723949,14992.6039591323,..,..
Turks and Caicos Islands,TCA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25731.2832531353,24476.3417801933,23624.2876780084,24661.1450526,26284.7219931526,26931.7280255368,25207.8316863304,25567.9180658069,25933.5112061295,18474.8659948769,18512.4574253306
Tuvalu,TUV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3008.04463515365,2821.07187054487,3097.1472629195,3575.7576155462,3517.64945458025,3484.23002481799,3490.38654809228,3827.5783443176,3638.81926405377,3511.44487917821,3307.24991387791,3348.05672773637,3545.14262269286,3736.20482634577,3456.92279762777,3334.6070753433,3512.03253676503,3388.53881615513,3515.13976701079,3521.26763705145,3895.93041651317,4125.93795050938,4208.92375986015,4268.1798715696,4816.55320986744,4839.61557504253,4924.0271747431
Uganda,UGA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,1075.93564841546,1142.13602047375,1165.96164109566,1187.29664908522,1242.05188732283,1241.53286585217,1266.72736140754,1335.19527659899,1377.95203445132,1428.84871130193,1475.81165015572,1588.00225497436,1671.82174984613,1764.99311625779,1830.87166680684,1878.5209178088,1996.06557674981,2013.54634138507,2026.62283944461,2067.79541691699,2108.86025767263,2137.20727775524,2128.39686875661,2186.90714697566,2250.0149216463,2240.49023729027,2246.41411077284
Ukraine,UKR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,7906.95703125,7179.677734375,7028.04638671875,6956.39892578125,7008.24365234375,7496.81298828125,8242.703125,8765.6826171875,9678.0869140625,10902.0380859375,11319.5107421875,12259.158203125,13345.771484375,13719.271484375,11694.4482421875,12221.4404296875,12933.3564453125,12985.0869140625,13020.6005859375,12385.8134765625,11216.1181640625,11536.31640625,11860.560546875,12336.9267578125,12804.955078125,12407.7900390625,12943.6142578125
United Arab Emirates,ARE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,99510.3506792656,99602.6174171953,100956.706465329,95185.3058211132,92368.8132644078,96835.8888255192,93106.202133982,90661.7251504937,93989.9598462678,98342.2366272015,96188.1280050721,92323.5627769205,79468.9954677141,68909.6102618585,57094.7861472593,54664.6117411199,57815.1702552533,59949.2445755139,62354.8232015733,64334.0915515339,68076.6358921929,71244.585812911,71182.3707145056,71550.5543294766,71782.1538368191,67668.2866393681,69733.7937755244
United Kingdom,GBR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,33718.5090841434,34274.4103004204,35679.0192763027,36698.4110630247,37678.6944025227,39080.8667573272,39770.6060210997,40303.8672354951,41369.4959277234,42099.3945384131,42926.9927660957,43533.2205104862,44302.8594715415,43887.7071344831,41592.364767012,42270.434294324,42389.1462619751,42705.1483005634,43192.0779378114,44247.0296701665,44948.3359709008,45574.8478235175,46372.38660351,46878.1349608861,47362.264606579,41984.1057181241,44978.7147199494
United States,USA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,43047.2600560444,44154.5471649016,45566.2616695578,47056.5113030007,48749.5975297555,50175.7382351715,50155.7082165499,50535.2736013571,51503.7722407422,52995.2430850196,54338.0281353073,55314.2033804836,55892.1981615237,55433.6765100271,53521.205843608,54516.8563819134,54960.9067304801,55803.5135102346,56438.9438477464,57308.3184170874,58427.552235676,58972.9006126681,59914.7777969757,61355.6490388014,62478.2539535741,60167.8567956122,63669.7104020679
Uruguay,URY,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,13009.4525120102,13657.0744610611,14740.216803046,15323.1381141751,14951.3861524734,14603.773220504,14005.3110869402,12900.9161973977,12990.0293431621,13625.2572485018,14624.6666053057,15202.9128772547,16166.4211398513,17287.7246523084,17978.05535963,19331.8488954686,20275.4410559334,20933.6886127713,21839.4084424398,22477.0601251156,22486.4285377569,22793.070886189,23106.9981937526,23184.6247520606,23256.5978718834,21828.6402984835,22800.6897022966
Uzbekistan,UZB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2656.63263367678,2650.60959862355,2736.36494437502,2808.46101000406,2897.8200356971,2967.60191037656,3052.28150406196,3134.96117404948,3229.84792432097,3430.62855905168,3626.62082440211,3849.5943806825,4154.70257823943,4457.69922099523,4735.99522034911,4953.96136781814,5185.68461992404,5472.83350710029,5781.15657026883,6075.19222412855,6401.11516766668,6663.94961394029,6840.70986001707,7082.92549333289,7348.14688265424,7344.22032645632,7734.83241391999
